,network,iter,epoch,type,loss,accuracy
152,I,2,3,validation,0.19654396196325877,0.9407955609902974
153,I,2,4,validation,0.19422471125469742,0.9407955609902974
154,I,2,5,validation,0.19409839966946957,0.9407955609902974
155,I,2,6,validation,0.19442611273419488,0.9407955609902974
156,I,2,7,validation,0.1999416658697886,0.9407955609902974
157,I,2,8,validation,0.1966291878137231,0.9407955609902974
158,I,2,9,validation,0.19852993989261652,0.9407955609902974
159,I,2,10,validation,0.19984782799849224,0.9407955609902974
160,I,2,11,validation,0.20510255027054933,0.9407955609902974
161,I,2,12,validation,0.20138138439333986,0.9407955609902974
162,I,2,13,validation,0.2015057042397035,0.9407955609902974
163,I,2,14,validation,0.2021926571102425,0.9407955609902974
164,I,2,15,validation,0.2036838346866548,0.9407955609902974
165,I,2,16,validation,0.20817910802355044,0.9407955609902974
166,I,2,17,validation,0.20647102752058602,0.9407955609902974
167,I,2,18,validation,0.20861615718942855,0.9407955609902974
168,I,2,19,validation,0.2110899378003675,0.9407955609902974
169,I,2,20,validation,0.20886494495210675,0.9407955609902974
170,I,2,21,validation,0.20483565140471627,0.9407955609902974
171,I,2,22,validation,0.20805693406092174,0.9407955609902974
172,I,2,23,validation,0.21142446004874335,0.9407955609902974
173,I,2,24,validation,0.21177243664007803,0.9407955609902974
174,I,2,25,validation,0.21003079182592416,0.9407955609902974
175,I,2,26,validation,0.20922644010393482,0.9407955609902974
176,I,2,27,validation,0.2139977506309348,0.9407955609902974
177,I,2,28,validation,0.2144178091702383,0.9407955609902974
178,I,2,29,validation,0.2127586470396283,0.9407955609902974
179,I,2,30,validation,0.2159424970077461,0.9407955609902974
180,I,2,31,validation,0.2127780445466278,0.9407955609902974
181,I,2,32,validation,0.21598814740569386,0.9407955609902974
182,I,2,33,validation,0.2162173330830367,0.9407955609902974
183,I,2,34,validation,0.21722689580556115,0.9407955609902974
184,I,2,35,validation,0.22048643178945782,0.9407955609902974
185,I,2,36,validation,0.21576266485343065,0.9407955609902974
186,I,2,37,validation,0.22214614496967833,0.9407955609902974
187,I,2,38,validation,0.21597999634107473,0.9407955609902974
188,I,2,39,validation,0.21535954738762075,0.9407955609902974
189,I,2,40,validation,0.22067273209633084,0.9407955609902974
190,I,2,41,validation,0.2195361795897443,0.9407955609902974
191,I,2,42,validation,0.2190987988205835,0.9407955609902974
192,I,2,43,validation,0.2122177503593602,0.9407955609902974
193,I,2,44,validation,0.2176620734368333,0.9407955609902974
194,I,2,45,validation,0.21732123970044614,0.9407955609902974
195,I,2,46,validation,0.2234461772142307,0.9407955609902974
196,I,2,47,validation,0.22789933867905476,0.9407955609902974
197,I,2,48,validation,0.22417887812954176,0.9407955609902974
198,I,2,49,validation,0.2201178147558017,0.9407955609902974
199,I,2,50,validation,0.22531159499638165,0.9407955609902974
200,I,3,1,train,0.05934121712185906,0.9857098930992644
201,I,3,2,train,0.05913113714661593,0.985401472452673
202,I,3,3,train,0.05899213239515356,0.9856070867726501
203,I,3,4,train,0.05899718115505486,0.9854014711781005
204,I,3,5,train,0.05894793875356905,0.9852986646553982
205,I,3,6,train,0.0588329949340485,0.9852986671555211
206,I,3,7,train,0.0587603617944011,0.985709891971758
207,I,3,8,train,0.05878438485989875,0.9851958605837967
208,I,3,9,train,0.058671172515631725,0.9851958582307399
209,I,3,10,train,0.058708450647337755,0.9856070854000336
210,I,3,11,train,0.05866749050334851,0.9851958605837967
211,I,3,12,train,0.05860443462203019,0.9852986659789926
212,I,3,13,train,0.05854700208920497,0.9852986659299706
213,I,3,14,train,0.05851728492495432,0.9854014700505941
214,I,3,15,train,0.05852758811643726,0.9855042765732964
215,I,3,16,train,0.05852450272680199,0.9851958582797619
216,I,3,17,train,0.058429910860617926,0.9852986660280146
217,I,3,18,train,0.058333373856336766,0.9856070867726501
218,I,3,19,train,0.05837649247994266,0.9854014699525501
219,I,3,20,train,0.05830600180369132,0.9849902452343572
220,I,3,21,train,0.05829950444491461,0.9852986672045431
221,I,3,22,train,0.05816778465622901,0.9858126997690327
222,I,3,23,train,0.05830399866393111,0.9850930541101164
223,I,3,24,train,0.05826589762145781,0.985401472501695
224,I,3,25,train,0.058210067509213856,0.9850930516099935
225,I,3,26,train,0.058166352032211856,0.985093052884566
226,I,3,27,train,0.058162659159254,0.985401472403651
227,I,3,28,train,0.05808307164139648,0.9849902464108856
228,I,3,29,train,0.058122105844674275,0.9851958595053123
229,I,3,30,train,0.058073258908873195,0.9856070866746061
230,I,3,31,train,0.058056811532372375,0.985093052933588
231,I,3,32,train,0.05797746348821628,0.9854014711781005
232,I,3,33,train,0.05804919038196562,0.985093052933588
233,I,3,34,train,0.05802560890105127,0.9855042764752524
234,I,3,35,train,0.0579060363384402,0.9856070855470996
235,I,3,36,train,0.05793362684583136,0.9855042790734193
236,I,3,37,train,0.057913035996908564,0.9854014723056069
237,I,3,38,train,0.05789343065549566,0.985195855828661
238,I,3,39,train,0.0579159567719516,0.9856070854980776
239,I,3,40,train,0.05790212468941263,0.985195855681595
240,I,3,41,train,0.0578718947943128,0.9851958595053123
241,I,3,42,train,0.057808731938145,0.985093052933588
242,I,3,43,train,0.05777631501748681,0.9852986659789926
243,I,3,44,train,0.05780330835283875,0.9855042788773313
244,I,3,45,train,0.057835920777321595,0.9851958581326958
245,I,3,46,train,0.05776305293098093,0.9851958594072683
246,I,3,47,train,0.05763729788700772,0.9849902475874139
247,I,3,48,train,0.05777102330887417,0.9852986659299706
248,I,3,49,train,0.05773400346728137,0.9851958581326958
249,I,3,50,train,0.05769961900929422,0.9850930541591384
250,I,3,1,validation,0.06908816897715671,0.9833487449808324
251,I,3,2,validation,0.06930436334502948,0.9833487449808324
252,I,3,3,validation,0.06869788283902624,0.9833487449808324
253,I,3,4,validation,0.06913029890964936,0.9833487449808324
254,I,3,5,validation,0.06888543197667187,0.9833487449808324
255,I,3,6,validation,0.0686457516417893,0.9833487449808324
256,I,3,7,validation,0.06982609203277426,0.9833487449808324
257,I,3,8,validation,0.0687929019181163,0.9833487449808324
258,I,3,9,validation,0.06784394371282795,0.9833487449808324
259,I,3,10,validation,0.0688283219333664,0.9833487449808324
260,I,3,11,validation,0.0684198783292753,0.9833487449808324
261,I,3,12,validation,0.06863392189241581,0.9833487449808324
262,I,3,13,validation,0.06947502001403219,0.9833487449808324
263,I,3,14,validation,0.06895180981079414,0.9833487449808324
264,I,3,15,validation,0.06918188853516302,0.9833487449808324
265,I,3,16,validation,0.06855312654977729,0.9833487449808324
266,I,3,17,validation,0.06798158298066932,0.9833487449808324
267,I,3,18,validation,0.06958186992426436,0.9833487449808324
268,I,3,19,validation,0.06948435609401217,0.9833487449808324
269,I,3,20,validation,0.06754399567134299,0.9833487449808324
270,I,3,21,validation,0.06820015337050675,0.9833487449808324
271,I,3,22,validation,0.06965892691514994,0.9833487449808324
272,I,3,23,validation,0.068618640983796,0.9833487449808324
273,I,3,24,validation,0.0686909333275283,0.9833487449808324
274,I,3,25,validation,0.06852508390248666,0.9833487449808324
275,I,3,26,validation,0.06834625911805865,0.9833487449808324
276,I,3,27,validation,0.06927464977559392,0.9833487449808324
277,I,3,28,validation,0.06768581280993102,0.9833487449808324
278,I,3,29,validation,0.0674011759692803,0.9833487449808324
279,I,3,30,validation,0.06826803866916213,0.9833487449808324
280,I,3,31,validation,0.06841558011254739,0.9833487449808324
281,I,3,32,validation,0.06978920495330772,0.9833487449808324
282,I,3,33,validation,0.06822583643284692,0.9833487449808324
283,I,3,34,validation,0.06831923299223515,0.9833487449808324
284,I,3,35,validation,0.06952747399611812,0.9833487449808324
285,I,3,36,validation,0.06809088481037906,0.9833487449808324
286,I,3,37,validation,0.06916316822594441,0.9833487449808324
287,I,3,38,validation,0.06711879422027484,0.9833487449808324
288,I,3,39,validation,0.06821851579662608,0.9833487449808324
289,I,3,40,validation,0.06806473519247513,0.9833487449808324
290,I,3,41,validation,0.06839185655888111,0.9833487449808324
291,I,3,42,validation,0.06846798286607633,0.9833487449808324
292,I,3,43,validation,0.06768060573625484,0.9833487449808324
293,I,3,44,validation,0.06855205671946199,0.9833487449808324
294,I,3,45,validation,0.0688627903822682,0.9833487449808324
295,I,3,46,validation,0.06877308711700338,0.9833487449808324
296,I,3,47,validation,0.06735832265981626,0.9833487449808324
297,I,3,48,validation,0.06799921070393106,0.9833487449808324
298,I,3,49,validation,0.06852395279802749,0.9833487449808324
299,I,3,50,validation,0.06824595797987901,0.9833487449808324
300,I,4,1,train,0.059701192400981117,0.9840649888830929
301,I,4,2,train,0.05962867180018211,0.984373405804011
302,I,4,3,train,0.0595554440368744,0.9839621799092897
303,I,4,4,train,0.05953056227530312,0.9842706007029471
304,I,4,5,train,0.059470033787257556,0.9843734085002219
305,I,4,6,train,0.059465743327679746,0.9843734048725927
306,I,4,7,train,0.05938916622832535,0.9844762149739023
307,I,4,8,train,0.059123550602689215,0.9845790164963589
308,I,4,9,train,0.059522713050345816,0.9838593734356094
309,I,4,10,train,0.05933132779013649,0.9844762124737794
310,I,4,11,train,0.05932200716934249,0.9844762137973738
311,I,4,12,train,0.059275737410491476,0.9847846332674368
312,I,4,13,train,0.05932018258940638,0.9843734072256495
